Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,PCA1,PCA2,Grade Category,Cluster
0.0,0.0,0.25,0.8,0.2,0.5,0.25,0.8333333333333333,0.3333333333333333,50.0,-3.863856505945061,0.0009778705909813112,Low,2
0.0,0.0,0.25,0.8,0.6000000000000001,0.5,0.25,0.3333333333333333,0.3333333333333333,75.0,-4.163851025055178,0.703305388152601,Medium,2
1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.5,70.0,-3.39473805332761,-3.8354851641389724,Medium,0
1.0,0.0,0.25,1.0,0.2,0.5,0.75,0.5,0.6666666666666666,98.0,-4.1816927486260695,0.9018224112552611,High,1
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.5,67.0,-3.26713837364641,-4.035529619359226,Medium,0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,55.0,-3.341532220026354,-4.020793229910601,Low,0
1.0,0.0,1.0,0.4,0.4,0.5,0.25,0.6666666666666666,0.5,60.0,-3.9157636497689667,0.5210316158097505,Low,1
1.0,0.0,0.75,0.6000000000000001,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,100.0,-3.9390588916046383,0.43896539486046393,High,1
1.0,0.0,1.0,0.6000000000000001,0.2,0.5,0.25,0.6666666666666666,0.6666666666666666,65.0,-3.9241396589661752,0.8783518506863013,Medium,1
0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,95.0,-3.15703617634792,-3.5146715499509944,High,0
1.0,0.0,1.0,0.2,0.4,0.5,0.5,0.3333333333333333,0.3333333333333333,95.0,-3.9957126883692657,-0.347706685531576,High,1
0.0,0.0,0.5,0.8,0.2,0.5,0.5,0.6666666666666666,0.5,79.0,-4.027282265446571,0.5304387751336934,Medium,2
0.0,0.0,0.25,0.4,0.2,0.5,0.5,0.8333333333333333,0.5,50.0,-3.660913547327252,-1.3204515008489435,Low,2
1.0,0.0,0.5,0.4,0.2,0.5,0.25,0.5,0.3333333333333333,70.0,-3.7713358911967885,-0.9941707570787424,Medium,1
0.0,0.0,0.25,1.0,0.2,0.5,0.5,0.3333333333333333,0.5,50.0,-4.172508637566507,0.6607454158438788,Low,2
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.16666666666666666,36.5,-3.291455229634713,-4.131699662212063,Low,0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8333333333333333,50.0,-3.2390243526813585,-3.7928847711717157,Low,0
0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.8333333333333333,90.0,-3.191205465462918,-3.5906410361972894,High,0
